,correct_answer,Problem,Classifier,Classification,group_number,is_correct,aggregation,features,entity
28,1 hour,CR_Conf,RF,Infinity,4,0,-1,-1,answer
29,1 hour,CR_Conf,LDA,Infinity,4,0,-1,-1,answer
30,1 hour,CR_Conf,SVM,1 hour,4,1,-1,-1,answer
31,1 hour,CR_Conf,KNN,1 hour,4,1,-1,-1,answer
32,1 hour,CR_Conf,XGB,1000 minutes,4,0,-1,-1,answer
33,1 hour,CR_Conf,Stack,Infinity,4,0,-1,-1,answer
34,1 hour,CR_Conf,Vote_soft,Infinity,4,0,-1,-1,answer
35,1 hour,CR_Conf,Bag_KNN,There is no way to know without additional information,4,0,-1,-1,answer
36,1 hour,CR_Conf,LR,There is no way to know without additional information,5,0,-1,-1,answer
37,1 hour,CR_Conf,RF,Infinity,5,0,-1,-1,answer
38,1 hour,CR_Conf,LDA,Infinity,5,0,-1,-1,answer
39,1 hour,CR_Conf,SVM,1 hour,5,1,-1,-1,answer
40,1 hour,CR_Conf,KNN,1 second,5,0,-1,-1,answer
41,1 hour,CR_Conf,XGB,Infinity,5,0,-1,-1,answer
42,1 hour,CR_Conf,Stack,Infinity,5,0,-1,-1,answer
43,1 hour,CR_Conf,Vote_soft,Infinity,5,0,-1,-1,answer
44,1 hour,CR_Conf,Bag_KNN,Infinity,5,0,-1,-1,answer
45,1 hour,CR_Conf,LR,Infinity,6,0,-1,-1,answer
46,1 hour,CR_Conf,RF,1 hour,6,1,-1,-1,answer
47,1 hour,CR_Conf,LDA,1 hour,6,1,-1,-1,answer
48,1 hour,CR_Conf,SVM,1 hour,6,1,-1,-1,answer
49,1 hour,CR_Conf,KNN,1000 seconds,6,0,-1,-1,answer
50,1 hour,CR_Conf,XGB,1 hour,6,1,-1,-1,answer
51,1 hour,CR_Conf,Stack,Infinity,6,0,-1,-1,answer
52,1 hour,CR_Conf,Vote_soft,1 hour,6,1,-1,-1,answer
53,1 hour,CR_Conf,Bag_KNN,1000 seconds,6,0,-1,-1,answer
54,1 hour,CR_Conf,LR,There is no way to know without additional information,7,0,-1,-1,answer
55,1 hour,CR_Conf,RF,There is no way to know without additional information,7,0,-1,-1,answer
56,1 hour,CR_Conf,LDA,There is no way to know without additional information,7,0,-1,-1,answer
57,1 hour,CR_Conf,SVM,There is no way to know without additional information,7,0,-1,-1,answer
58,1 hour,CR_Conf,KNN,1000 seconds,7,0,-1,-1,answer
59,1 hour,CR_Conf,XGB,There is no way to know without additional information,7,0,-1,-1,answer
60,1 hour,CR_Conf,Stack,There is no way to know without additional information,7,0,-1,-1,answer
61,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,7,0,-1,-1,answer
62,1 hour,CR_Conf,Bag_KNN,There is no way to know without additional information,7,0,-1,-1,answer
63,1 hour,CR_Conf,LR,There is no way to know without additional information,8,0,-1,-1,answer
64,1 hour,CR_Conf,RF,There is no way to know without additional information,8,0,-1,-1,answer
65,1 hour,CR_Conf,LDA,There is no way to know without additional information,8,0,-1,-1,answer
66,1 hour,CR_Conf,SVM,There is no way to know without additional information,8,0,-1,-1,answer
67,1 hour,CR_Conf,KNN,There is no way to know without additional information,8,0,-1,-1,answer
68,1 hour,CR_Conf,XGB,1000 hours,8,0,-1,-1,answer
69,1 hour,CR_Conf,Stack,There is no way to know without additional information,8,0,-1,-1,answer
70,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,8,0,-1,-1,answer
71,1 hour,CR_Conf,Bag_KNN,There is no way to know without additional information,8,0,-1,-1,answer
72,1 hour,CR_Conf,LR,There is no way to know without additional information,9,0,-1,-1,answer
73,1 hour,CR_Conf,RF,There is no way to know without additional information,9,0,-1,-1,answer
74,1 hour,CR_Conf,LDA,There is no way to know without additional information,9,0,-1,-1,answer
75,1 hour,CR_Conf,SVM,There is no way to know without additional information,9,0,-1,-1,answer
76,1 hour,CR_Conf,KNN,1000 hours,9,0,-1,-1,answer
77,1 hour,CR_Conf,XGB,There is no way to know without additional information,9,0,-1,-1,answer
78,1 hour,CR_Conf,Stack,1000 hours,9,0,-1,-1,answer
79,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,9,0,-1,-1,answer
80,1 hour,CR_Conf,Bag_KNN,Infinity,9,0,-1,-1,answer
81,1 hour,CR_Conf,LR,Infinity,10,0,-1,-1,answer
82,1 hour,CR_Conf,RF,There is no way to know without additional information,10,0,-1,-1,answer
83,1 hour,CR_Conf,LDA,There is no way to know without additional information,10,0,-1,-1,answer
84,1 hour,CR_Conf,SVM,There is no way to know without additional information,10,0,-1,-1,answer
85,1 hour,CR_Conf,KNN,1000000 hours,10,0,-1,-1,answer
86,1 hour,CR_Conf,XGB,There is no way to know without additional information,10,0,-1,-1,answer
87,1 hour,CR_Conf,Stack,There is no way to know without additional information,10,0,-1,-1,answer
88,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,10,0,-1,-1,answer
89,1 hour,CR_Conf,Bag_KNN,1000000 hours,10,0,-1,-1,answer
90,1 hour,CR_Conf,LR,Infinity,11,0,-1,-1,answer
91,1 hour,CR_Conf,RF,Infinity,11,0,-1,-1,answer
92,1 hour,CR_Conf,LDA,Infinity,11,0,-1,-1,answer
93,1 hour,CR_Conf,SVM,Infinity,11,0,-1,-1,answer
94,1 hour,CR_Conf,KNN,1 hour,11,1,-1,-1,answer
95,1 hour,CR_Conf,XGB,Infinity,11,0,-1,-1,answer
96,1 hour,CR_Conf,Stack,There is no way to know without additional information,11,0,-1,-1,answer
97,1 hour,CR_Conf,Vote_soft,Infinity,11,0,-1,-1,answer
98,1 hour,CR_Conf,Bag_KNN,Infinity,11,0,-1,-1,answer
99,1 hour,CR_Conf,LR,1 hour,12,1,-1,-1,answer
100,1 hour,CR_Conf,RF,1 hour,12,1,-1,-1,answer
101,1 hour,CR_Conf,LDA,1 hour,12,1,-1,-1,answer
102,1 hour,CR_Conf,SVM,Infinity,12,0,-1,-1,answer
103,1 hour,CR_Conf,KNN,1000 minutes,12,0,-1,-1,answer
104,1 hour,CR_Conf,XGB,1 hour,12,1,-1,-1,answer
105,1 hour,CR_Conf,Stack,Infinity,12,0,-1,-1,answer
106,1 hour,CR_Conf,Vote_soft,1 hour,12,1,-1,-1,answer
107,1 hour,CR_Conf,Bag_KNN,1000 minutes,12,0,-1,-1,answer
108,1 hour,CR_Conf,LR,There is no way to know without additional information,13,0,-1,-1,answer
109,1 hour,CR_Conf,RF,There is no way to know without additional information,13,0,-1,-1,answer
110,1 hour,CR_Conf,LDA,There is no way to know without additional information,13,0,-1,-1,answer
111,1 hour,CR_Conf,SVM,There is no way to know without additional information,13,0,-1,-1,answer
112,1 hour,CR_Conf,KNN,1000 minutes,13,0,-1,-1,answer
113,1 hour,CR_Conf,XGB,Infinity,13,0,-1,-1,answer
114,1 hour,CR_Conf,Stack,There is no way to know without additional information,13,0,-1,-1,answer
115,1 hour,CR_Conf,Vote_soft,Infinity,13,0,-1,-1,answer
116,1 hour,CR_Conf,Bag_KNN,1000 minutes,13,0,-1,-1,answer
117,1 hour,CR_Conf,LR,Infinity,14,0,-1,-1,answer
118,1 hour,CR_Conf,RF,1 hour,14,1,-1,-1,answer
119,1 hour,CR_Conf,LDA,1 hour,14,1,-1,-1,answer
120,1 hour,CR_Conf,SVM,1 hour,14,1,-1,-1,answer
121,1 hour,CR_Conf,KNN,1000 minutes,14,0,-1,-1,answer
122,1 hour,CR_Conf,XGB,1 hour,14,1,-1,-1,answer
123,1 hour,CR_Conf,Stack,1 hour,14,1,-1,-1,answer
124,1 hour,CR_Conf,Vote_soft,1 hour,14,1,-1,-1,answer
125,1 hour,CR_Conf,Bag_KNN,1 hour,14,1,-1,-1,answer
126,1 hour,CR_Conf,LR,There is no way to know without additional information,15,0,-1,-1,answer
127,1 hour,CR_Conf,RF,There is no way to know without additional information,15,0,-1,-1,answer
128,1 hour,CR_Conf,LDA,There is no way to know without additional information,15,0,-1,-1,answer
129,1 hour,CR_Conf,SVM,1000 seconds,15,0,-1,-1,answer
130,1 hour,CR_Conf,KNN,1000 seconds,15,0,-1,-1,answer
131,1 hour,CR_Conf,XGB,There is no way to know without additional information,15,0,-1,-1,answer
132,1 hour,CR_Conf,Stack,Infinity,15,0,-1,-1,answer
133,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,15,0,-1,-1,answer
134,1 hour,CR_Conf,Bag_KNN,Infinity,15,0,-1,-1,answer
135,1 hour,CR_Conf,LR,There is no way to know without additional information,16,0,-1,-1,answer
136,1 hour,CR_Conf,RF,There is no way to know without additional information,16,0,-1,-1,answer
137,1 hour,CR_Conf,LDA,There is no way to know without additional information,16,0,-1,-1,answer
138,1 hour,CR_Conf,SVM,There is no way to know without additional information,16,0,-1,-1,answer
139,1 hour,CR_Conf,KNN,1000 minutes,16,0,-1,-1,answer
140,1 hour,CR_Conf,XGB,There is no way to know without additional information,16,0,-1,-1,answer
141,1 hour,CR_Conf,Stack,1000 minutes,16,0,-1,-1,answer
142,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,16,0,-1,-1,answer
143,1 hour,CR_Conf,Bag_KNN,1 hour,16,1,-1,-1,answer
144,1 hour,CR_Conf,LR,1 hour,17,1,-1,-1,answer
145,1 hour,CR_Conf,RF,1 hour,17,1,-1,-1,answer
146,1 hour,CR_Conf,LDA,1 hour,17,1,-1,-1,answer
147,1 hour,CR_Conf,SVM,1 hour,17,1,-1,-1,answer
148,1 hour,CR_Conf,KNN,1 hour,17,1,-1,-1,answer
149,1 hour,CR_Conf,XGB,There is no way to know without additional information,17,0,-1,-1,answer
150,1 hour,CR_Conf,Stack,There is no way to know without additional information,17,0,-1,-1,answer
151,1 hour,CR_Conf,Vote_soft,1 hour,17,1,-1,-1,answer
152,1 hour,CR_Conf,Bag_KNN,1 hour,17,1,-1,-1,answer
153,1 hour,CR_Conf,LR,1 hour,18,1,-1,-1,answer
154,1 hour,CR_Conf,RF,1 hour,18,1,-1,-1,answer
155,1 hour,CR_Conf,LDA,1 hour,18,1,-1,-1,answer
156,1 hour,CR_Conf,SVM,1000 minutes,18,0,-1,-1,answer
157,1 hour,CR_Conf,KNN,1000 minutes,18,0,-1,-1,answer
158,1 hour,CR_Conf,XGB,1000 hours,18,0,-1,-1,answer
159,1 hour,CR_Conf,Stack,1 minute,18,0,-1,-1,answer
160,1 hour,CR_Conf,Vote_soft,1 hour,18,1,-1,-1,answer
161,1 hour,CR_Conf,Bag_KNN,1000 minutes,18,0,-1,-1,answer
162,1 hour,CR_Conf,LR,1 hour,19,1,-1,-1,answer
163,1 hour,CR_Conf,RF,1 hour,19,1,-1,-1,answer
164,1 hour,CR_Conf,LDA,1 hour,19,1,-1,-1,answer
165,1 hour,CR_Conf,SVM,1 hour,19,1,-1,-1,answer
166,1 hour,CR_Conf,KNN,1 hour,19,1,-1,-1,answer
167,1 hour,CR_Conf,XGB,1 hour,19,1,-1,-1,answer
168,1 hour,CR_Conf,Stack,1000 seconds,19,0,-1,-1,answer
169,1 hour,CR_Conf,Vote_soft,1 hour,19,1,-1,-1,answer
170,1 hour,CR_Conf,Bag_KNN,1 hour,19,1,-1,-1,answer
171,1 hour,CR_Conf,LR,There is no way to know without additional information,20,0,-1,-1,answer
172,1 hour,CR_Conf,RF,1 hour,20,1,-1,-1,answer
173,1 hour,CR_Conf,LDA,1 hour,20,1,-1,-1,answer
174,1 hour,CR_Conf,SVM,1 hour,20,1,-1,-1,answer
175,1 hour,CR_Conf,KNN,1 hour,20,1,-1,-1,answer
176,1 hour,CR_Conf,XGB,Infinity,20,0,-1,-1,answer
177,1 hour,CR_Conf,Stack,1 hour,20,1,-1,-1,answer
178,1 hour,CR_Conf,Vote_soft,1 hour,20,1,-1,-1,answer
179,1 hour,CR_Conf,Bag_KNN,1 hour,20,1,-1,-1,answer
180,1 hour,CR_Conf,LR,1000 minutes,21,0,-1,-1,answer
181,1 hour,CR_Conf,RF,1000 minutes,21,0,-1,-1,answer
182,1 hour,CR_Conf,LDA,1000 minutes,21,0,-1,-1,answer
183,1 hour,CR_Conf,SVM,1000 minutes,21,0,-1,-1,answer
184,1 hour,CR_Conf,KNN,1000 minutes,21,0,-1,-1,answer
185,1 hour,CR_Conf,XGB,2000 hours,21,0,-1,-1,answer
186,1 hour,CR_Conf,Stack,2000 hours,21,0,-1,-1,answer
187,1 hour,CR_Conf,Vote_soft,1000 minutes,21,0,-1,-1,answer
188,1 hour,CR_Conf,Bag_KNN,1000 minutes,21,0,-1,-1,answer
189,1 hour,CR_Conf,LR,1 hour,22,1,-1,-1,answer
190,1 hour,CR_Conf,RF,1 hour,22,1,-1,-1,answer
191,1 hour,CR_Conf,LDA,1 hour,22,1,-1,-1,answer
192,1 hour,CR_Conf,SVM,1 hour,22,1,-1,-1,answer
193,1 hour,CR_Conf,KNN,Infinity,22,0,-1,-1,answer
194,1 hour,CR_Conf,XGB,1 hour,22,1,-1,-1,answer
195,1 hour,CR_Conf,Stack,1 hour,22,1,-1,-1,answer
196,1 hour,CR_Conf,Vote_soft,1 hour,22,1,-1,-1,answer
197,1 hour,CR_Conf,Bag_KNN,1000 minutes,22,0,-1,-1,answer
198,1 hour,CR_Conf,LR,There is no way to know without additional information,23,0,-1,-1,answer
199,1 hour,CR_Conf,RF,Infinity,23,0,-1,-1,answer
200,1 hour,CR_Conf,LDA,There is no way to know without additional information,23,0,-1,-1,answer
201,1 hour,CR_Conf,SVM,Infinity,23,0,-1,-1,answer
202,1 hour,CR_Conf,KNN,1 minute,23,0,-1,-1,answer
203,1 hour,CR_Conf,XGB,1000 minutes,23,0,-1,-1,answer
204,1 hour,CR_Conf,Stack,1 minute,23,0,-1,-1,answer
205,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,23,0,-1,-1,answer
206,1 hour,CR_Conf,Bag_KNN,There is no way to know without additional information,23,0,-1,-1,answer
207,1 hour,CR_Conf,LR,Infinity,24,0,-1,-1,answer
208,1 hour,CR_Conf,RF,Infinity,24,0,-1,-1,answer
209,1 hour,CR_Conf,LDA,Infinity,24,0,-1,-1,answer
210,1 hour,CR_Conf,SVM,Infinity,24,0,-1,-1,answer
211,1 hour,CR_Conf,KNN,Infinity,24,0,-1,-1,answer
212,1 hour,CR_Conf,XGB,1 hour,24,1,-1,-1,answer
213,1 hour,CR_Conf,Stack,Infinity,24,0,-1,-1,answer
214,1 hour,CR_Conf,Vote_soft,Infinity,24,0,-1,-1,answer
215,1 hour,CR_Conf,Bag_KNN,Infinity,24,0,-1,-1,answer
216,1 hour,CR_Conf,LR,1 minute,25,0,-1,-1,answer
217,1 hour,CR_Conf,RF,1 hour,25,1,-1,-1,answer
218,1 hour,CR_Conf,LDA,1000 hours,25,0,-1,-1,answer
219,1 hour,CR_Conf,SVM,1000 hours,25,0,-1,-1,answer
220,1 hour,CR_Conf,KNN,1 hour,25,1,-1,-1,answer
221,1 hour,CR_Conf,XGB,Infinity,25,0,-1,-1,answer
222,1 hour,CR_Conf,Stack,1000 minutes,25,0,-1,-1,answer
223,1 hour,CR_Conf,Vote_soft,1000 hours,25,0,-1,-1,answer
224,1 hour,CR_Conf,Bag_KNN,1000 hours,25,0,-1,-1,answer
225,1 hour,CR_Conf,LR,There is no way to know without additional information,26,0,-1,-1,answer
226,1 hour,CR_Conf,RF,1000 hours,26,0,-1,-1,answer
227,1 hour,CR_Conf,LDA,Infinity,26,0,-1,-1,answer
228,1 hour,CR_Conf,SVM,1 minute,26,0,-1,-1,answer
229,1 hour,CR_Conf,KNN,1 minute,26,0,-1,-1,answer
230,1 hour,CR_Conf,XGB,Infinity,26,0,-1,-1,answer
231,1 hour,CR_Conf,Stack,1000 hours,26,0,-1,-1,answer
232,1 hour,CR_Conf,Vote_soft,Infinity,26,0,-1,-1,answer
233,1 hour,CR_Conf,Bag_KNN,1 minute,26,0,-1,-1,answer
234,1 hour,CR_Conf,LR,There is no way to know without additional information,27,0,-1,-1,answer
235,1 hour,CR_Conf,RF,1 hour,27,1,-1,-1,answer
236,1 hour,CR_Conf,LDA,1 hour,27,1,-1,-1,answer
237,1 hour,CR_Conf,SVM,1 hour,27,1,-1,-1,answer
238,1 hour,CR_Conf,KNN,1000 minutes,27,0,-1,-1,answer
239,1 hour,CR_Conf,XGB,1 minute,27,0,-1,-1,answer
240,1 hour,CR_Conf,Stack,1 hour,27,1,-1,-1,answer
241,1 hour,CR_Conf,Vote_soft,1 hour,27,1,-1,-1,answer
242,1 hour,CR_Conf,Bag_KNN,1000 minutes,27,0,-1,-1,answer
243,1 hour,CR_Conf,LR,Infinity,28,0,-1,-1,answer
244,1 hour,CR_Conf,RF,1 hour,28,1,-1,-1,answer
245,1 hour,CR_Conf,LDA,1 hour,28,1,-1,-1,answer
246,1 hour,CR_Conf,SVM,1 hour,28,1,-1,-1,answer
247,1 hour,CR_Conf,KNN,1 hour,28,1,-1,-1,answer
248,1 hour,CR_Conf,XGB,1 hour,28,1,-1,-1,answer
249,1 hour,CR_Conf,Stack,1 hour,28,1,-1,-1,answer
250,1 hour,CR_Conf,Vote_soft,1 hour,28,1,-1,-1,answer
251,1 hour,CR_Conf,Bag_KNN,1 hour,28,1,-1,-1,answer
252,1 hour,CR_Conf,LR,Infinity,29,0,-1,-1,answer
253,1 hour,CR_Conf,RF,Infinity,29,0,-1,-1,answer
254,1 hour,CR_Conf,LDA,Infinity,29,0,-1,-1,answer
255,1 hour,CR_Conf,SVM,1 hour,29,1,-1,-1,answer
256,1 hour,CR_Conf,KNN,2000 hours,29,0,-1,-1,answer
257,1 hour,CR_Conf,XGB,1 hour,29,1,-1,-1,answer
258,1 hour,CR_Conf,Stack,Infinity,29,0,-1,-1,answer
259,1 hour,CR_Conf,Vote_soft,1 hour,29,1,-1,-1,answer
260,1 hour,CR_Conf,Bag_KNN,2000 hours,29,0,-1,-1,answer
261,1 hour,CR_Conf,LR,There is no way to know without additional information,30,0,-1,-1,answer
262,1 hour,CR_Conf,RF,There is no way to know without additional information,30,0,-1,-1,answer
263,1 hour,CR_Conf,LDA,There is no way to know without additional information,30,0,-1,-1,answer
264,1 hour,CR_Conf,SVM,1000 hours,30,0,-1,-1,answer
265,1 hour,CR_Conf,KNN,Infinity,30,0,-1,-1,answer
266,1 hour,CR_Conf,XGB,1000 hours,30,0,-1,-1,answer
267,1 hour,CR_Conf,Stack,1000 minutes,30,0,-1,-1,answer
268,1 hour,CR_Conf,Vote_soft,1000 hours,30,0,-1,-1,answer
269,1 hour,CR_Conf,Bag_KNN,Infinity,30,0,-1,-1,answer
270,1 hour,CR_Conf,LR,There is no way to know without additional information,31,0,-1,-1,answer
271,1 hour,CR_Conf,RF,There is no way to know without additional information,31,0,-1,-1,answer
272,1 hour,CR_Conf,LDA,There is no way to know without additional information,31,0,-1,-1,answer
273,1 hour,CR_Conf,SVM,2000 hours,31,0,-1,-1,answer
274,1 hour,CR_Conf,KNN,1 hour,31,1,-1,-1,answer
275,1 hour,CR_Conf,XGB,1000 hours,31,0,-1,-1,answer
276,1 hour,CR_Conf,Stack,1 hour,31,1,-1,-1,answer
277,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,31,0,-1,-1,answer
278,1 hour,CR_Conf,Bag_KNN,1 hour,31,1,-1,-1,answer
279,1 hour,CR_Conf,LR,1 hour,32,1,-1,-1,answer
280,1 hour,CR_Conf,RF,There is no way to know without additional information,32,0,-1,-1,answer
281,1 hour,CR_Conf,LDA,There is no way to know without additional information,32,0,-1,-1,answer
282,1 hour,CR_Conf,SVM,There is no way to know without additional information,32,0,-1,-1,answer
283,1 hour,CR_Conf,KNN,There is no way to know without additional information,32,0,-1,-1,answer
284,1 hour,CR_Conf,XGB,There is no way to know without additional information,32,0,-1,-1,answer
285,1 hour,CR_Conf,Stack,Infinity,32,0,-1,-1,answer
286,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,32,0,-1,-1,answer
287,1 hour,CR_Conf,Bag_KNN,There is no way to know without additional information,32,0,-1,-1,answer
288,1 hour,CR_Conf,LR,Infinity,33,0,-1,-1,answer
289,1 hour,CR_Conf,RF,Infinity,33,0,-1,-1,answer
290,1 hour,CR_Conf,LDA,Infinity,33,0,-1,-1,answer
291,1 hour,CR_Conf,SVM,Infinity,33,0,-1,-1,answer
292,1 hour,CR_Conf,KNN,1 hour,33,1,-1,-1,answer
293,1 hour,CR_Conf,XGB,2000 hours,33,0,-1,-1,answer
294,1 hour,CR_Conf,Stack,2000 hours,33,0,-1,-1,answer
295,1 hour,CR_Conf,Vote_soft,2000 hours,33,0,-1,-1,answer
296,1 hour,CR_Conf,Bag_KNN,There is no way to know without additional information,33,0,-1,-1,answer
297,1 hour,CR_Conf,LR,Infinity,34,0,-1,-1,answer
298,1 hour,CR_Conf,RF,1 minute,34,0,-1,-1,answer
299,1 hour,CR_Conf,LDA,1 minute,34,0,-1,-1,answer
300,1 hour,CR_Conf,SVM,1000 hours,34,0,-1,-1,answer
301,1 hour,CR_Conf,KNN,1 minute,34,0,-1,-1,answer
302,1 hour,CR_Conf,XGB,1000 minutes,34,0,-1,-1,answer
303,1 hour,CR_Conf,Stack,There is no way to know without additional information,34,0,-1,-1,answer
304,1 hour,CR_Conf,Vote_soft,1 minute,34,0,-1,-1,answer
305,1 hour,CR_Conf,Bag_KNN,1 minute,34,0,-1,-1,answer
306,1 hour,CR_Conf,LR,Infinity,35,0,-1,-1,answer
307,1 hour,CR_Conf,RF,Infinity,35,0,-1,-1,answer
308,1 hour,CR_Conf,LDA,Infinity,35,0,-1,-1,answer
309,1 hour,CR_Conf,SVM,1 hour,35,1,-1,-1,answer
310,1 hour,CR_Conf,KNN,1 minute,35,0,-1,-1,answer
311,1 hour,CR_Conf,XGB,1 hour,35,1,-1,-1,answer
312,1 hour,CR_Conf,Stack,2000 hours,35,0,-1,-1,answer
313,1 hour,CR_Conf,Vote_soft,Infinity,35,0,-1,-1,answer
314,1 hour,CR_Conf,Bag_KNN,1 minute,35,0,-1,-1,answer
315,1 hour,CR_Conf,LR,There is no way to know without additional information,36,0,-1,-1,answer
316,1 hour,CR_Conf,RF,1 hour,36,1,-1,-1,answer
317,1 hour,CR_Conf,LDA,There is no way to know without additional information,36,0,-1,-1,answer
318,1 hour,CR_Conf,SVM,There is no way to know without additional information,36,0,-1,-1,answer
319,1 hour,CR_Conf,KNN,1 minute,36,0,-1,-1,answer
320,1 hour,CR_Conf,XGB,2000 hours,36,0,-1,-1,answer
321,1 hour,CR_Conf,Stack,1000 hours,36,0,-1,-1,answer
322,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,36,0,-1,-1,answer
323,1 hour,CR_Conf,Bag_KNN,1 minute,36,0,-1,-1,answer
324,1 hour,CR_Conf,LR,1 hour,37,1,-1,-1,answer
325,1 hour,CR_Conf,RF,1000 hours,37,0,-1,-1,answer
326,1 hour,CR_Conf,LDA,1 hour,37,1,-1,-1,answer
327,1 hour,CR_Conf,SVM,Infinity,37,0,-1,-1,answer
328,1 hour,CR_Conf,KNN,There is no way to know without additional information,37,0,-1,-1,answer
329,1 hour,CR_Conf,XGB,There is no way to know without additional information,37,0,-1,-1,answer
330,1 hour,CR_Conf,Stack,1 hour,37,1,-1,-1,answer
331,1 hour,CR_Conf,Vote_soft,1 hour,37,1,-1,-1,answer
332,1 hour,CR_Conf,Bag_KNN,Infinity,37,0,-1,-1,answer
333,1 hour,CR_Conf,LR,There is no way to know without additional information,38,0,-1,-1,answer
334,1 hour,CR_Conf,RF,There is no way to know without additional information,38,0,-1,-1,answer
335,1 hour,CR_Conf,LDA,There is no way to know without additional information,38,0,-1,-1,answer
336,1 hour,CR_Conf,SVM,1000 seconds,38,0,-1,-1,answer
337,1 hour,CR_Conf,KNN,1000 hours,38,0,-1,-1,answer
338,1 hour,CR_Conf,XGB,There is no way to know without additional information,38,0,-1,-1,answer
339,1 hour,CR_Conf,Stack,There is no way to know without additional information,38,0,-1,-1,answer
340,1 hour,CR_Conf,Vote_soft,There is no way to know without additional information,38,0,-1,-1,answer
341,1 hour,CR_Conf,Bag_KNN,1000 hours,38,0,-1,-1,answer
342,1 hour,CR_Conf,LR,Infinity,39,0,-1,-1,answer
343,1 hour,CR_Conf,RF,1 hour,39,1,-1,-1,answer
344,1 hour,CR_Conf,LDA,1 hour,39,1,-1,-1,answer
345,1 hour,CR_Conf,SVM,Infinity,39,0,-1,-1,answer
346,1 hour,CR_Conf,KNN,1 hour,39,1,-1,-1,answer
347,1 hour,CR_Conf,XGB,1 hour,39,1,-1,-1,answer
348,1 hour,CR_Conf,Stack,1 hour,39,1,-1,-1,answer
349,1 hour,CR_Conf,Vote_soft,1 hour,39,1,-1,-1,answer
350,1 hour,CR_Conf,Bag_KNN,1 hour,39,1,-1,-1,answer
351,1 hour,CR_Conf,LR,Infinity,40,0,-1,-1,answer
352,1 hour,CR_Conf,RF,1000 minutes,40,0,-1,-1,answer
353,1 hour,CR_Conf,LDA,Infinity,40,0,-1,-1,answer
354,1 hour,CR_Conf,SVM,1000 hours,40,0,-1,-1,answer
355,1 hour,CR_Conf,KNN,Infinity,40,0,-1,-1,answer
356,1 hour,CR_Conf,XGB,1 hour,40,1,-1,-1,answer
357,1 hour,CR_Conf,Stack,Infinity,40,0,-1,-1,answer
358,1 hour,CR_Conf,Vote_soft,Infinity,40,0,-1,-1,answer
359,1 hour,CR_Conf,Bag_KNN,Infinity,40,0,-1,-1,answer
360,1 hour,CR_Conf,LR,Infinity,41,0,-1,-1,answer
361,1 hour,CR_Conf,RF,Infinity,41,0,-1,-1,answer
362,1 hour,CR_Conf,LDA,Infinity,41,0,-1,-1,answer
